text,intent
замерзнешь на улице,weather
тепло или холодно,weather
нужна куртка,weather
зонт нужен,weather
гроза будет,weather
мороз какой,weather
жара или холод,weather
погодные условия,weather
осадки ожидаются,weather
влажность какая,weather
холодрыга,weather
ливень,weather
какая погода в питере,weather
погода в новосибирске,weather
сколько градусов в казани,weather
температура в екатеринбурге,weather
погода в сочи,weather
погода в крыму,weather
будет ли снег завтра,weather
прогноз на понедельник,weather
что за погода,weather
на улице холодно,weather
очень жарко,weather
температура воды,weather
ураган будет,weather
шторм,weather
град ожидается,weather
туман утром,weather
гололед,weather
метель,weather
погода портится,weather
тепло ли на улице,weather
какой ветер,weather
влажность воздуха,weather
атмосферное давление,weather
погода на сегодня в москве,weather
погода завтра в спб,weather
какая погода будет завтра,weather
погода на послезавтра,weather
пока,goodbye
до свидания,goodbye
всего хорошего,goodbye
до встречи,goodbye
увидимся,goodbye
прощай,goodbye
бывай,goodbye
счастливо,goodbye
удачи,goodbye
до скорого,goodbye
всего доброго,goodbye
покеда,goodbye
чао,goodbye
до связи,goodbye
пока пока,goodbye
прощайте,goodbye
до завтра,goodbye
бывай здоров,goodbye
до встречи пока,goodbye
удачи пока,goodbye
созвонимся,goodbye
до новых встреч,goodbye
хорошего дня,goodbye
пока бот,goodbye
спокойной ночи,goodbye
всего наилучшего,goodbye
до скорой встречи,goodbye
увидимся позже,goodbye
удачи тебе,goodbye
счастливого пути,goodbye
всего хорошего тебе,goodbye
до встречи друг,goodbye
прощай друг,goodbye
бывай счастливо,goodbye
чао чао,goodbye
до связи друг,goodbye
давай прощай,goodbye
всего,goodbye
пока пока пока,goodbye
ладно пока,goodbye
ну всё пока,goodbye
счастливо оставаться,goodbye
разрешите откланяться,goodbye
честь имею,goodbye
сложи 5 и 3,addition
2 плюс 2,addition
сумма 10 и 20,addition
прибавь 15 к 7,addition
сколько будет 8 + 4,addition
сложение,addition
плюс,addition
прибавить,addition
калькулятор,addition
сколько 5+3,addition
вычисли 10+20,addition
прибавь 15+7,addition
плюс 2 и 2,addition
найди сумму 3 и 6,addition
сложить 4 и 9,addition
1 плюс 1,addition
100+200,addition
5+5,addition
8+4,addition
два плюс два,addition
три плюс шесть,addition
десять плюс двадцать,addition
сложи пожалуйста,addition
помоги сложить,addition
посчитай сумму,addition
прибавь еще,addition
добавь 3,addition
плюс 7,addition
сколько будет если сложить,addition
математика сложение,addition
посчитай 25 плюс 35,addition
сложи 0 и 1,addition
0 плюс 1,addition
сложи 1 и 2,addition
1 плюс 2,addition
сложи 2 и 3,addition
2 плюс 3,addition
сложи 100 и 200,addition
500 плюс 500,addition
сложи 7 и 8,addition
9 плюс 9,addition
прибавь 10 к 20,addition
сколько 15 плюс 15,addition
вычисли 30 плюс 40,addition
посчитай 50+50,addition
сложение чисел,addition
калькулятор сложения,addition
сумма двух чисел,addition
складывать числа,addition
сложение в столбик,addition
сложи 15 и 25,addition
25 плюс 75,addition
1000 плюс 2000,addition
сложи 3 и 7,addition
меня зовут Максим,set_name
меня зовут Анна,set_name
меня зовут Дмитрий,set_name
мое имя Иван,set_name
называй меня Саша,set_name
зови меня Катя,set_name
я Максим,set_name
меня звать Олег,set_name
можно просто Петя,set_name
обращайся ко мне Лена,set_name
зовут меня Алексей,set_name
давай познакомимся,set_name
будем знакомы меня зовут,set_name
меня можно называть,set_name
вот мое имя,set_name
меня зовут Сергей,set_name
меня зовут Алексей,set_name
я Антон,set_name
я Денис,set_name
я Кристина,set_name
я Юлия,set_name
называй меня Макс,set_name
зови меня Дима,set_name
зови меня Костя,set_name
зови меня Лена,set_name
зови меня Юля,set_name
зовите меня Вова,set_name
меня звать Петрович,set_name
меня зовут Елена,set_name
меня зовут Андрей,set_name
меня зовут Ольга,set_name
я Владимир,set_name
я Наташа,set_name
зови меня Гоша,set_name
называй меня Миша,set_name
обращайся Никита,set_name
меня звать Александр,set_name
мое имя Виктория,set_name
можно Коля,set_name
зовите меня Света,set_name
моё имя Даша,set_name
я Серёжа,set_name
зови меня Ваня,set_name
называй меня Катей,set_name
сколько времени,time
который час,time
текущее время,time
часы покажи,time
какой сейчас час,time
скажи время,time
время сейчас,time
точное время,time
сколько сейчас часов,time
который час сейчас,time
время московское,time
часики,time
покажи время,time
который час по Москве,time
сколько часов,time
скажи который час,time
текущий час,time
часы минуты,time
время точное,time
московское время,time
местное время,time
узнать время,time
подскажи время,time
который сейчас час,time
сколько на часах,time
какое сейчас время суток,time
время дня,time
который час подскажи,time
который час сейчас в москве,time
сколько времени сейчас,time
который час покажи,time
сколько сейчас время,time
который час времени,time
время покажи,time
который час скажи,time
часы московские,time
секунды покажи,time
какое сегодня число,date
сегодняшняя дата,date
какой сегодня день,date
число сегодня,date
какое число,date
сегодня какое число,date
день недели,date
какой день недели,date
дата сегодня,date
сегодняшнее число,date
какое сегодня,date
день месяц год,date
какой сегодня день недели,date
какое сегодня число месяца,date
сегодня какое число и месяц,date
назови дату,date
текущая дата,date
сегодняшний день,date
какое число сегодняшнее,date
сегодня какой день,date
день недели сегодня,date
число и месяц,date
календарь,date
сегодня какой день недели и число,date
подскажи дату,date
какое сегодня число и месяц,date
узнать дату,date
какая сегодня дата,date
сегодня какое число какой месяц,date
день месяц число,date
календарь сегодня,date
дата какая,date
выведи дату,date
что за дата сегодня,date
назови число,date
день года,date
что ты умеешь,help
помоги,help
справка,help
что ты можешь,help
твои возможности,help
как пользоваться,help
какие команды,help
что я могу спросить,help
помощь,help
что ты умеешь делать,help
твои функции,help
расскажи о своих возможностях,help
что ты можешь делать,help
как с тобой общаться,help
какие у тебя навыки,help
помоги пожалуйста,help
нужна помощь,help
подскажи что ты умеешь,help
функционал бота,help
что ты можешь показать,help
какие есть команды,help
список команд,help
покажи что ты умеешь,help
что ты можешь мне дать,help
в чем твоя функция,help
расскажи о себе,help
что ты умеешь расскажи,help
помощь бот,help
навигация,help
меню команд,help
мои возможности,help
твой функционал,help
спасибо,thanks
благодарю,thanks
спасибо большое,thanks
благодарствую,thanks
мерси,thanks
спасибо за помощь,thanks
очень помог,thanks
спасибо бот,thanks
отлично спасибо,thanks
благодарочка,thanks
пасиб,thanks
спс,thanks
огромное спасибо,thanks
благодарю вас,thanks
спасибо огромное,thanks
спасибо за ответ,thanks
очень признателен,thanks
благодарен,thanks
спасибочки,thanks
сенкью,thanks
thank you,thanks
спасибо что помог,thanks
весьма признателен,thanks
от души спасибо,thanks
спасибо тебе,thanks
благодарю за помощь,thanks
спасибо что выручил,thanks
спасибо большое вам,thanks
огромное человеческое спасибо,thanks
признателен очень,thanks
спасибо бот выручил,thanks
ты лучший спасибо,thanks
повтори,repeat
скажи еще раз,repeat
повтори еще,repeat
еще раз,repeat
повтори пожалуйста,repeat
скажи снова,repeat
повтор,repeat
что ты сказал,repeat
повтори снова,repeat
скажи заново,repeat
ещё раз повтори,repeat
продублируй,repeat
что ты сказал только что,repeat
повтори последнее,repeat
скажи ещё разок,repeat
повтори что сказал,repeat
не расслышал повтори,repeat
скажи ещё раз,repeat
повтори свою фразу,repeat
дубль,repeat
агент повтори,repeat
еще разик,repeat
повтори еще раз пожалуйста,repeat
ещё разок повтори,repeat
скажи по новой,repeat
проговаривай заново,repeat
не понял повтори,repeat
повторно скажи,repeat
отмена,cancel
не надо,cancel
забудь,cancel
отмени,cancel
передумал,cancel
не нужно,cancel
отменяем,cancel
стоп отмена,cancel
отменить,cancel
отбой,cancel
всё отмени,cancel
забудь это,cancel
не продолжай,cancel
хватит,cancel
стоп машина,cancel
отмени операцию,cancel
прекратить,cancel
остановить,cancel
хватит этого,cancel
не надо продолжать,cancel
отмена действия,cancel
возврат,cancel
аннулировать,cancel
отмена операции,cancel
прервись,cancel
перестань,cancel
откат,cancel
отставить,cancel
команда отмена,cancel
кто твой создатель,question
кто тебя создал,question
кто тебя сделал,question
твой создатель,question
кто написал бота,question
кто разработал,question
кто программист,question
кто твой хозяин,question
кто твой родитель,question
кто тебя программировал,question
кто тебя обучал,question
автор бота,question
создатель проекта,question
разработчик бота,question
кого благодарить,question
чей ты бот,question
в какой компании создали,question
кто тебя придумал,question
расскажи о создателе,question
сколько тебе лет,question
когда ты создан,question
в каком году ты появился,question
твой возраст,question
расскажи шутку,fun
пошути,fun
анекдот расскажи,fun
смешное скажи,fun
рассмеши меня,fun
по приколу что нибудь,fun
шуткани,fun
хаха расскажи,fun
что нибудь веселое,fun
юморни,fun
развесели меня,fun
поржать хочется,fun
анекдот про вована,fun
шутка про программистов,fun
по приколу,fun
улыбни меня,fun
потеха,fun
давай шутку,fun
спой песню,fun
потанцуй,fun
угадай число,game
поиграем в игру,game
во что поиграем,game
хочешь поиграть,game
давай поиграем,game
сыграем во что нибудь,game
интересная игра,game
загадай число,game
угадайка,game
викторина,game
квест,game
загадай загадку,game
что загадаешь,game
игровой режим,game
займёмся игрой,game
неизвестный запрос,unknown
что то странное,unknown
непонятно,unknown
абоба,unknown
кукусики,unknown
трололо,unknown
не знаю что сказать,unknown
запрос который не понимаю,unknown
непонятная фраза,unknown
странное сообщение,unknown
чушь какая то,unknown
ерунда,unknown
белиберда,unknown
небылица,unknown
непонятно что,unknown
неразбериха,unknown
